Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",136.243200,-59.055000,180.000000,top
"C2","100nF","C_0402_1005Metric",139.039600,-72.491600,180.000000,top
"D1","Green","LED_0603_1608Metric",131.978400,-57.658000,180.000000,top
"D2","Red","LED_0603_1608Metric",142.443200,-68.491100,180.000000,top
"F1","Polyfuse","Fuse_0603_1608Metric",138.810900,-81.776000,0.000000,top
"IC1","SN74LVC245APWR","TSSOP-20_4.4x6.5mm_P0.65mm",133.756400,-63.220600,0.000000,top
"IC2","SN74LVC245APWR","TSSOP-20_4.4x6.5mm_P0.65mm",136.550400,-76.835000,0.000000,top
"R1","2K2","R_0402_1005Metric",129.692400,-57.150000,-90.000000,top
"R2","470R","R_0402_1005Metric",141.185900,-70.142100,0.000000,top
"RN1","33R","R_Array_Concave_4x0402",142.130400,-76.188000,0.000000,top
"RN2","33R","R_Array_Concave_4x0402",142.130400,-78.740000,0.000000,top
